,number_in_team,team,headshot_src,lastName,firstName,id
154,5,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png,Fox,De'Aaron,154
155,35,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628982.png,Frazier Jr.,Melvin,155
156,10,Pelicans,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204025.png,Frazier,Tim,156
157,9,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101112.png,Frye,Channing,157
158,20,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628365.png,Fultz,Markelle,158
159,32,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629117.png,Gabriel,Wenyen,159
160,8,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png,Gallinari,Danilo,160
161,9,Pistons,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204038.png,Galloway,Langston,161
162,33,Raptors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201188.png,Gasol,Marc,162
163,16,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2200.png,Gasol,Pau,163
164,22,Spurs,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200752.png,Gay,Rudy,164
165,13,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png,George,Paul,165
166,67,Timberwolves,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201959.png,Gibson,Taj,166
167,20,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628385.png,Giles III,Harry,167
168,2,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628983.png,Gilgeous-Alexander,Shai,168
169,27,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203497.png,Gobert,Rudy,169
170,6,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629164.png,Goodwin,Brandon,170
171,00,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,Gordon,Aaron,171
172,10,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png,Gordon,Eric,172
173,4,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png,Graham,Devonte',173
174,21,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626203.png,Graham,Treveon,174
175,15,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629055.png,Grantham,Donte,175
176,9,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203924.png,Grant,Jerami,176
177,22,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626170.png,Grant,Jerian,177
178,14,Raptors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201980.png,Green,Danny,178
179,23,Warriors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png,Green,Draymond,179
180,14,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101123.png,Green,Gerald,180
181,4,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203210.png,Green,JaMychal,181
182,32,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201145.png,Green,Jeff,182
183,23,Pistons,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png,Griffin,Blake,183
184,11,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203501.png,Hardaway Jr.,Tim,184
185,13,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201935.png,Harden,James,185
186,4,Trail Blazers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203090.png,Harkless,Maurice,186
187,5,Clippers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png,Harrell,Montrezl,187
188,34,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2734.png,Harris,Devin,188
189,14,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png,Harris,Gary,189
190,12,Nets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203925.png,Harris,Joe,190
191,3,Bulls,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627885.png,Harrison,Shaquille,191
192,33,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202699.png,Harris,Tobias,192
193,55,Rockets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628392.png,Hartenstein,Isaiah,193
194,3,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png,Hart,Josh,194
195,40,Heat,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2617.png,Haslem,Udonis,195
196,20,Celtics,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png,Hayward,Gordon,196
197,31,Cavaliers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203089.png,Henson,John,197
198,41,Nuggets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627823.png,Hernangomez,Juancho,198
199,41,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626195.png,Hernangomez,Willy,199
200,8,Knicks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626209.png,Hezonja,Mario,200
201,4,Knicks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628439.png,Hicks,Isaiah,201
202,24,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png,Hield,Buddy,202
