,index,year,round,pick,player,position,school
484,906,1997,2,45.0,"Shammgod, God",PG,Providence
485,907,1997,2,46.0,"Washington, Eric",SG,Alabama
486,908,1997,2,47.0,"Williams, Alvin",PG,Villanova
487,909,1997,2,48.0,"Drobnjak, Predrag",C,KK Partizan
488,910,1997,2,49.0,"Digbeu, Alain",SG,ASVEL Lyon-Villeurbanne
489,911,1997,2,50.0,"Crawford, Chris",SF,Marquette
490,912,1997,2,51.0,"Wheat, DeJuan",PG,Louisville
491,913,1997,2,52.0,"Bruton, C.J.",PG/SG,Indian Hills CC
492,914,1997,2,53.0,"Rogers, Paul",C,Gonzaga
493,915,1997,2,54.0,"Blount, Mark",C,Pittsburgh
494,916,1997,2,55.0,"Pepper, Ben",C,Newcastle Falcons
495,917,1997,2,56.0,"Erdmann, Nate",SG,Oklahoma
496,918,1997,2,57.0,"Dueñas, Roberto",C,FC Barcelona
497,919,1998,1,1.0,"Olowokandi, Michael",C,Pacific
498,920,1998,1,2.0,"Bibby, Mike",PG,Arizona
499,921,1998,1,3.0,"LaFrentz, Raef",C/F,Kansas
500,922,1998,1,4.0,"Jamison, Antawn",F,North Carolina
501,923,1998,1,5.0,"Carter, Vince",G/F,North Carolina
502,924,1998,1,6.0,"Traylor, Robert",F/C,Michigan
503,925,1998,1,7.0,"Williams, Jason",PG,Florida
504,926,1998,1,8.0,"Hughes, Larry",SG,Saint Louis
505,927,1998,1,9.0,"Nowitzki, Dirk",PF,DJK Würzburg
506,928,1998,1,10.0,"Pierce, Paul",G/F,Kansas
507,929,1998,1,11.0,"Wells, Bonzi",G/F,Ball State
508,930,1998,1,12.0,"Doleac, Michael",C,Utah
509,931,1998,1,13.0,"Clark, Keon",F/C,UNLV
510,932,1998,1,14.0,"Dickerson, Michael",SG,Arizona
511,933,1998,1,15.0,"Harpring, Matt",F/G,Georgia Tech
512,934,1998,1,16.0,"Drew, Bryce",PG,Valparaíso
513,935,1998,1,17.0,"Nesterovič, Radoslav",C,Kinder Bologna
514,936,1998,1,18.0,"Türkcan, Mirsad",PF,Efes Pilsen
515,937,1998,1,19.0,"Garrity, Pat",PF,Notre Dame
516,938,1998,1,20.0,"McLeod, Roshown",SF,Duke
517,939,1998,1,21.0,"Davis, Ricky",G/F,Iowa
518,940,1998,1,22.0,"Skinner, Brian",F/C,Baylor
519,941,1998,1,23.0,"Lue, Tyronn",PG,Nebraska
520,942,1998,1,24.0,"López, Felipe",SG,St. John's
521,943,1998,1,25.0,"Harrington, Al",F,St. Patrick's High School
522,944,1998,1,26.0,"Jacobson, Sam",SG,Minnesota
523,945,1998,1,27.0,"Stepania, Vladimir",C,Olimpija Ljubljana
524,946,1998,1,28.0,"Benjamin, Corey",SG,Oregon State
525,947,1998,1,29.0,"Mohammed, Nazr",C/F,Kentucky
