,year,round,pick,position,school,firstName,lastName
381,1995,2,58,F,Georgetown,Reid,Don
382,1996,1,1,G,Georgetown,Iverson,Allen
383,1996,1,2,C,Massachusetts,Camby,Marcus
384,1996,1,3,F,California,Abdur-Rahim,Shareef
385,1996,1,4,G,Georgia Tech,Marbury,Stephon
386,1996,1,5,G,Connecticut,Allen,Ray
387,1996,1,6,F,Kentucky,Walker,Antoine
388,1996,1,7,C,Memphis,Wright,Lorenzen
389,1996,1,8,G,Villanova,Kittles,Kerry
390,1996,1,9,F,Louisville,Walker,Samaki
391,1996,1,10,C,Mississippi State,Dampier,Erick
392,1996,1,11,C,NC State,Fuller,Todd
393,1996,1,12,C,Wright State,Potapenko,Vitaly
394,1996,1,13,G,Lower Merion HS,Bryant,Kobe
395,1996,1,14,F,PAOK,Stojaković,Peja
396,1996,1,15,G,Santa Clara,Nash,Steve
397,1996,1,16,G,Kentucky,Delk,Tony
398,1996,1,17,F/C,Eau Claire HS ,O'Neal,Jermaine
399,1996,1,18,F,Syracuse,Wallace,John
400,1996,1,19,F,Kentucky,McCarty,Walter
401,1996,1,20,C,Atletas Kaunas,Ilgauskas,Žydrūnas
402,1996,1,21,F,Mississippi State,Jones,Dontae
403,1996,1,22,F,Alabama,Rogers,Roy
404,1996,1,23,C,PAOK,Rentzias,Efthimios
405,1996,1,24,G,Arkansas-Little Rock,Fisher,Derek
406,1996,1,25,F,Tallinna Kalev,Müürsepp,Martin
407,1996,1,26,F,Georgetown,Williams,Jerome
408,1996,1,27,F,Indiana,Evans,Brian
409,1996,1,28,C,Peristeri,Lauderdale,Priest
410,1996,1,29,C,Connecticut,Knight,Travis
411,1996,2,30,F/C,Georgetown,Harrington,Othella
412,1996,2,31,G,Washington State,Hendrickson,Mark
413,1996,2,32,G,Oklahoma,Minor,Ryan
414,1996,2,33,G,West Florida,Norris,Moochie
415,1996,2,34,G,West Virginia State,Harvey,Shawn
416,1996,2,35,C,Arizona,Blair,Joseph
417,1996,2,36,G,Connecticut,Sheffer,Doron
418,1996,2,37,G,North Carolina,McInnis,Jeff
419,1996,2,38,C,Tennessee,Hamer,Steve
420,1996,2,39,F,Iowa,Millard,Russ
421,1996,2,40,F,Mississippi Valley State,Mann,Marcus
422,1996,2,41,F,Texas Tech,Sasser,Jason
423,1996,2,42,G,LSU,Livingston,Randy
424,1996,2,43,F,Arizona,Davis,Ben
425,1996,2,44,F,Drexel,Rose,Malik
426,1996,2,45,C,Colorado State,Vogel,Joe
427,1996,2,46,G,Murray State,Brown,Marcus
428,1996,2,47,G/F,Arizona State,Riley,Ron
429,1996,2,48,F,Michigan State,Feick,Jamie
430,1996,2,49,C,Marquette,McCaskill,Amal
431,1996,2,50,C,Georgia,Bell,Terrell
432,1996,2,51,G,Western Kentucky,Robinson,Chris
433,1996,2,52,F,Kentucky,Pope,Mark
434,1996,2,53,F,Wisconsin–Green Bay,Nordgaard,Jeff
435,1996,2,54,F,Georgia,Anderson,Shandon
436,1996,2,55,G,LSU,Henderson,Ronnie
437,1996,2,56,G,Arizona,Geary,Reggie
438,1996,2,57,G,Georgia Tech,Barry,Drew
439,1996,2,58,F,Arkansas,Robinson,Darnell
440,1997,1,1,PF/C,Wake Forest,Tim,Duncan
441,1997,1,2,PF,Utah,Van,"Horn, Keith"
442,1997,1,3,PG,Colorado,Billups,Chauncey
443,1997,1,4,PG,Bowling Green,Daniels,Antonio
444,1997,1,5,C/F,Texas Tech,Battie,Tony
445,1997,1,6,SF,Kentucky,Mercer,Ron
